"ORNH,2020-10-23 19:49:54"
"ORNJ,2020-10-23 19:54:12"
"OROH,2021-07-09 20:58:11"
"ORPA,2021-03-15 20:25:05"
"FFMI,2021-07-30 18:31:19"
"ORTX,2020-11-23 22:15:01"
"CLTA,2021-08-17 18:34:34"
"STAL,2021-03-01 20:42:03"
"STAR,2021-02-05 19:06:45"
"STLA,2021-03-22 20:01:36"
"CWTN,2021-08-27 19:57:54"
"WCOH,2020-08-24 19:50:05"
"WCRI,2021-03-26 19:29:01"
"WCTN,2020-09-14 20:55:49"
"WCWI,2020-09-04 16:26:30"
"WFFL,2021-06-25 19:41:20"
"FAMO,2021-08-27 19:55:28"
"FNMN,2021-08-27 19:43:51"
"FNTN,2021-08-27 19:56:13"
"ORGA,2021-05-24 19:37:10"
"ORIN,2021-08-20 19:53:54"
"ORKY,2020-10-16 19:54:05"
"ORMA,2020-12-18 18:03:48"
"STMD,2021-02-05 19:12:22"
"STMI,2021-02-05 19:15:44"
"STMN,2021-03-01 20:48:46"
"FFGA,2020-10-30 21:15:55"
"STDC,2020-11-06 20:49:32"
"STVA,2021-04-23 18:48:03"
"TLTA,2021-08-04 16:47:48"
"WCMN,2020-08-17 19:26:10"
"WCNY,2020-08-17 19:39:20"
"CTMA,2021-05-10 21:51:30"
"CWNE,2020-12-30 21:34:21"
"CTUT,2020-12-04 21:09:12"
"CTWV,2021-04-21 15:41:57"
"CWFL,2021-05-13 20:06:16"
"CWGA,2020-10-30 21:15:28"
"CLTA,2021-08-17 18:34:34"
"FAIN,2020-12-29 21:10:15"
"FAKS,2021-03-01 21:09:11"
"FAKY,2021-03-01 21:07:05"
"FAMA,2021-05-10 22:25:03"
"ORNE,2021-08-20 19:59:20"
"FAME,2021-05-10 22:19:25"
"FFFL,2021-05-13 20:04:31"
"FANJ,2021-02-22 19:28:40"
"FFVA,2021-08-12 21:02:38"
"FFWV,2021-04-21 15:37:51"
"FTMA,2021-07-02 19:19:27"
"ORAZ,2020-12-18 17:48:37"
"ORDC,2020-10-16 19:44:45"
